date,data
2011-04-19:22:25:00,3.7199999999999998
2011-04-19:22:30:00,4.89
2011-04-19:22:35:00,5.295
2011-04-19:22:40:00,4.155
2011-04-19:22:45:00,4.725
2011-04-19:22:50:00,4.875
2011-04-19:22:55:00,3.7800000000000002
2011-04-19:23:00:00,26.595
2011-04-19:23:05:00,6.24
2011-04-19:23:10:00,4.125
2011-04-19:23:15:00,4.62
2011-04-19:23:20:00,14.085
2011-04-19:23:25:00,4.875
2011-04-19:23:30:00,6.779999999999999
2011-04-19:23:35:00,7.199999999999999
2011-04-19:23:40:00,4.83
2011-04-19:23:45:00,4.949999999999999
2011-04-19:23:50:00,3.045
2011-04-19:23:55:00,4.83
2011-04-20:00:00:00,4.515
2011-04-20:00:05:00,3.135
2011-04-20:00:10:00,4.755
2011-04-20:00:15:00,4.515
2011-04-20:00:20:00,3.09
2011-04-20:00:25:00,4.305
2011-04-20:00:30:00,10.74
2011-04-20:00:35:00,3.87
2011-04-20:00:40:00,4.050000000000001
2011-04-20:00:45:00,4.5600000000000005
2011-04-20:00:50:00,4.035
2011-04-20:00:55:00,3.99
2011-04-20:01:00:00,23.82
2011-04-20:01:05:00,5.955
2011-04-20:01:10:00,3.87
2011-04-20:01:15:00,4.755
2011-04-20:01:20:00,4.005
2011-04-20:01:25:00,3.42
2011-04-20:01:30:00,4.17
2011-04-20:01:35:00,5.16
2011-04-20:01:40:00,3.3000000000000003
2011-04-20:01:45:00,3.69
2011-04-20:01:50:00,5.88
2011-04-20:01:55:00,3.885
2011-04-20:02:00:00,14.22
2011-04-20:02:05:00,4.38
2011-04-20:02:10:00,3.57
2011-04-20:02:15:00,4.155
2011-04-20:02:20:00,3.465
2011-04-20:02:25:00,4.26
2011-04-20:02:30:00,3.63
2011-04-20:02:35:00,2.37
2011-04-20:02:40:00,3.54
2011-04-20:02:45:00,3.495
2011-04-20:02:50:00,2.6550000000000002
2011-04-20:02:55:00,3.255
2011-04-20:03:00:00,15.54
2011-04-20:03:05:00,2.175
2011-04-20:03:10:00,3.87
2011-04-20:03:15:00,2.895
2011-04-20:03:20:00,2.415
2011-04-20:03:25:00,3.7350000000000003
2011-04-20:03:30:00,2.88
2011-04-20:03:35:00,2.19
2011-04-20:03:40:00,2.94
2011-04-20:03:45:00,5.985
2011-04-20:03:50:00,2.445
2011-04-20:03:55:00,3.165
2011-04-20:04:00:00,4.47
2011-04-20:04:05:00,2.4749999999999996
2011-04-20:04:10:00,4.8149999999999995
2011-04-20:04:15:00,3.495
2011-04-20:04:20:00,2.955
2011-04-20:04:25:00,3.3899999999999997
2011-04-20:04:30:00,4.125
2011-04-20:04:35:00,2.925
2011-04-20:04:40:00,2.745
2011-04-20:04:45:00,8.19
2011-04-20:04:50:00,12.690000000000001
2011-04-20:04:55:00,3.06
2011-04-20:05:00:00,18.525
2011-04-20:05:05:00,4.11
2011-04-20:05:10:00,3.06
2011-04-20:05:15:00,3.375
2011-04-20:05:20:00,3.4050000000000002
2011-04-20:05:25:00,3.195
2011-04-20:05:30:00,6.255
2011-04-20:05:35:00,3.7199999999999998
2011-04-20:05:40:00,3.465
2011-04-20:05:45:00,3.54
2011-04-20:05:50:00,2.7600000000000002
2011-04-20:05:55:00,8.745000000000001
2011-04-20:06:00:00,10.83
2011-04-20:06:05:00,2.715
2011-04-20:06:10:00,4.08
2011-04-20:06:15:00,3.465
2011-04-20:06:20:00,3.495
2011-04-20:06:25:00,3.6750000000000003
2011-04-20:06:30:00,3.255
2011-04-20:06:35:00,26.759999999999998
2011-04-20:06:40:00,3.75
2011-04-20:06:45:00,4.14
2011-04-20:06:50:00,2.4899999999999998
2011-04-20:06:55:00,3.465
2011-04-20:07:00:00,24.915
2011-04-20:07:05:00,12.450000000000001
2011-04-20:07:10:00,3.81
2011-04-20:07:15:00,4.665
2011-04-20:07:20:00,3.1500000000000004
2011-04-20:07:25:00,3.42
2011-04-20:07:30:00,4.9350000000000005
2011-04-20:07:35:00,3.81
2011-04-20:07:40:00,7.41
2011-04-20:07:45:00,3.93
2011-04-20:07:50:00,4.41
2011-04-20:07:55:00,2.895
2011-04-20:08:00:00,4.8149999999999995
2011-04-20:08:05:00,4.095
2011-04-20:08:10:00,3.9000000000000004
2011-04-20:08:15:00,7.154999999999999
2011-04-20:08:20:00,4.2299999999999995
2011-04-20:08:25:00,3.12
2011-04-20:08:30:00,2.745
2011-04-20:08:35:00,2.925
2011-04-20:08:40:00,3.255
2011-04-20:08:45:00,3.33
2011-04-20:08:50:00,3.3000000000000003
2011-04-20:08:55:00,7.77
2011-04-20:09:00:00,25.875
2011-04-20:09:05:00,6.0
2011-04-20:09:10:00,8.805
2011-04-20:09:15:00,8.129999999999999
2011-04-20:09:20:00,6.48
2011-04-20:09:25:00,17.61
2011-04-20:09:30:00,7.215
2011-04-20:09:35:00,7.68
2011-04-20:09:40:00,6.99
2011-04-20:09:45:00,8.504999999999999
2011-04-20:09:50:00,7.14
2011-04-20:09:55:00,14.385
2011-04-20:10:00:00,15.885
2011-04-20:10:05:00,11.415000000000001
2011-04-20:10:10:00,12.645
2011-04-20:10:15:00,15.434999999999999
2011-04-20:10:20:00,16.259999999999998
2011-04-20:10:25:00,15.075000000000001
2011-04-20:10:30:00,17.94
2011-04-20:10:35:00,13.77
2011-04-20:10:40:00,15.434999999999999
2011-04-20:10:45:00,15.885
2011-04-20:10:50:00,17.46
2011-04-20:10:55:00,19.830000000000002
2011-04-20:11:00:00,53.94
2011-04-20:11:05:00,49.245
2011-04-20:11:10:00,43.214999999999996
2011-04-20:11:15:00,39.375
2011-04-20:11:20:00,31.23
